company,h-index,repo count,contributor count,location,country,employee,top_language
groupon,29,86,201,"Chicago, IL, USA",USA,3675,Java
reactjs,47,85,2082,Everywhere,,,JavaScript
papers-we-love,13,85,330,"New York, NY",,,JavaScript
prisma,29,85,1125,Berlin & Worldwide,,,TypeScript
youzan,36,84,1222,º¼ÖÝ,China,2000,JavaScript
tauri-apps,28,84,1364,,,,Rust
opentext,5,83,496,"Waterloo, Ontario",,,JavaScript
netease,33,82,801,,China,32064,JavaScript
python,37,82,2192,,,,Python
kotlin,53,82,876,,,,Kotlin
coupa,3,81,2323,"San Mateo, CA",,,Ruby
denoland,39,81,2411,,,,TypeScript
bazelbuild,47,81,1710,,,,Starlark
cisco,27,80,907,,USA,83300,C
coursera,15,80,2144,"Mountain View, CA",,,JavaScript
ironsource,14,80,1423,Israel,,,JavaScript
veritone,4,80,1280,"575 Anton Suite 100, Costa Mesa, CA 92626",,,Go
laravel,67,80,2938,,,,PHP
smartrent,7,79,1707,,,,Elixir
spring-projects,58,79,2526,United States of America,,,Java
autodesk,27,78,818,"San Francisco, CA",,,JavaScript
didi,53,77,1318,"Beijing, China",China,24396,Java
kubernetes,60,77,4570,,,,Go
containers,42,77,1872,Earth,,,Go
pinterest,45,76,3209,"San Francisco, California",USA,3225,Java
nutanix,11,76,892,"San Jose, CA",USA,6080,Go
semantic-org,16,76,754,New York,,,JavaScript
box,35,75,722,"Redwood City, CA",,,JavaScript
doctrine,42,75,1600,Planet Earth,,,PHP
appian,4,74,7461,"Reston, VA",,,Java
hexojs,28,72,738,,,,JavaScript
rethinkdb,24,72,696,"Mountain View, CA",,,JavaScript
openresty,54,70,408,San Francisco Bay Area,,,C
videojs,29,70,671,,,,JavaScript
kriasoft,29,70,629,,,,JavaScript
gulpjs,22,70,448,,,,JavaScript
tusimple,10,68,2994,San Diego,,,Python
pytorch,56,68,2720,where the eigens are valued,,,Python
gothinkster,34,68,366,,,,JavaScript
opntec,0,68,304,Berlin,,,HTML
douban,31,67,550,"Beijing, China",China,100,Python
