company,h-index,repo count,contributor count,repo-count diff,contributor diff
faceplusplus,11,19,24,0,0
truecaller,4,19,662,0,0
keysight,2,19,824,0,-3
ncino,2,19,841,0,1
obsproject,12,19,827,0,-1
composer,16,19,785,0,0
gorilla,18,19,350,0,0
seleniumHQ,13,19,1153,0,5
microstrategy,6,18,28,0,0
HujiangTechnology,8,18,179,0,0
spirent,5,18,47,0,0
coupang,2,18,1264,0,0
zscaler,3,18,10,0,-438
30-seconds,16,18,448,0,-552
yarnpkg,10,18,1000,0,501
tldr-pages,8,18,503,1,496
guzzle,15,18,499,1,472
vuzix,1,17,7,0,-389
cyberagent,8,17,27,0,-6
aol,7,17,396,0,-119
billtrust,5,17,33,0,-851
harmonic,5,17,515,0,-465
playstudios,1,17,883,0,692
certara,4,17,23,1,-46
keras-team,14,17,982,1,959
iview,11,17,191,1,-457
vipshop,14,16,69,0,-518
leaflet,15,16,647,1,617
gogs,10,16,583,1,575
carsales,3,15,30,1,-93
teamviewer,4,14,123,0,121
techtarget,1,14,2,0,-185
doocs,12,14,188,0,-1129
pallets,13,14,1316,0,467
opencv,12,14,850,0,454
tesseract-ocr,12,14,396,1,-311
rackspace,8,13,707,0,666
lumen,4,13,41,0,-92
unisys,1,13,133,0,-615
gin-gonic,9,13,748,0,322
scikit-learn,9,13,426,0,-76
baixing,7,12,44,0,0
colopl,3,12,364,0,0
appen,1,12,128,0,0
meitu,8,12,210,1,0
marqeta,5,11,423,0,0
lattice,2,11,94,0,0
exscientia,1,11,63,0,0
mui,9,11,659,0,3
zsh-users,10,11,594,0,0
nwjs,10,11,865,0,35
robinhood,9,10,252,0,-1
renren,3,10,6,0,0
ionq,3,10,268,0,0
qualtrics,2,10,204,0,-1
makemytrip,2,10,409,0,0
agilethought,2,10,124,0,0
hoppscotch,7,10,237,0,0
freecodecampchina,5,10,601,0,0
puppeteer,7,9,643,0,202
jumeirdgroup,6,8,7,0,0
dangdangdotcom,5,8,80,0,0
compass,5,8,225,0,0
semrush,4,8,37,0,0
soundhound,3,8,11,0,0
alamofire,5,8,262,0,1
N-able,5,7,15,0,0
avepoint,3,7,311,0,0
lantronix,2,7,10,0,0
moment,6,7,830,0,-1
git,0,7,709,0,-1
quilljs,6,7,169,0,2
micro,4,6,80,0,-1
tripadvisor,3,6,10,0,0
vacasa,2,6,42,0,0
zuora,1,6,41,0,0
supermicro,0,6,66,0,-189
evercommerce,0,6,25,0,-41
smartsheet,1,6,170,0,145
ohmyzsh,5,6,1046,0,1
powerline,4,6,179,0,1
qorvo,2,5,255,0,247
endava,4,5,8,0,1
vanguard,3,5,7,0,3
spire,1,5,4,0,-1
payoneer,2,5,5,0,-157
mtdvio,0,5,162,0,-60
huginn,3,5,225,0,158
layui,4,5,67,1,27
nortonlifeLock,2,4,40,0,-236
legalzoom,2,4,276,0,268
channeladvisor,2,4,10,0,-120
lendingclub,1,4,130,0,119
kinaxis,1,4,11,0,-11
simcorp,1,4,22,0,14
upstart,1,4,8,0,3
ChangbaDevs,0,4,5,0,-151
monotaro,0,4,155,0,-204
teladoc,0,4,358,0,202
bitcoin,0,4,570,0,1
konami,2,3,1,0,0
jumia,2,3,10,0,0
sailpoint,1,3,43,0,0
meili,0,3,3,0,-9
identiv,1,3,4,0,1
isocpp,0,3,302,0,298
temenos,1,2,8,-1,-293
five9,1,2,1,0,0
nordic,1,2,1,0,0
nerdwallet,1,2,31,0,0
gitlab,0,2,5,0,0
dlocal,0,2,24,0,0
tietoevry,0,2,6,0,0
impress,0,2,77,0,1
snapkit,0,2,121,0,0
exacity,0,2,30,0,0
doubleverify,0,1,6,0,0
knowbe4,0,1,3,0,0
sprinklr,0,1,1,0,0
plantronics,0,1,1,0,0
ytdl-org,0,1,390,0,-2
resume,0,1,46,0,0
raywenderlich,0,1,1,0,0
eplus,0,0,0,0,0
phreesia,0,0,0,0,0
