Company,degree,betweenness,closeness,eigenvector,clustering,effective size,constraint
rancher,0.3319587628865979,0.0030564866956667032,0.4812985759974271,0.10392034344212604,0.48928571428571427,82.71428571428571,0.023879708411510124
segmentio,0.422680412371134,0.007024236590690564,0.5220099217114952,0.1179962862695473,0.37216642754662843,129.0780487804878,0.021859749841761113
eclipse,0.04948453608247423,6.034621823735122e-06,0.3830472804834696,0.02343486168065268,0.9347826086956522,2.5,0.05576919952173039
alibaba,0.354639175257732,0.00405353490823102,0.4915208466380805,0.10780832413389092,0.4566843465252278,93.90697674418605,0.022994122003894363
discourse,0.16701030927835053,0.00015748772175502417,0.4201350655832306,0.06939517273188761,0.8598765432098765,12.209876543209873,0.030356166751503717
nasa,0.004123711340206186,0.0,0.3611304009759629,0.0024502367736807034,1.0,1.0,0.5034503463935788
github,0.5422680412371134,0.026630439966901263,0.5896163022303937,0.12671362566356598,0.252488897918904,196.84790874524714,0.020256955869107102
spatie,0.051546391752577324,0.0010019253032616175,0.3841068856853602,0.019856732021223584,0.7566666666666667,6.84,0.06550572116637504
auth0,0.3505154639175258,0.0043473455342985115,0.4906524352482606,0.10253693342004604,0.4278454577097111,97.69411764705882,0.023474995623136125
grafana,0.4247422680412371,0.007366308763272814,0.5220099217114952,0.11764653277941697,0.36571157944589155,131.02912621359224,0.021983838012705374
getsentry,0.35876288659793815,0.004650085323565654,0.4950254516051969,0.10836455559024848,0.4494717958939605,96.24137931034483,0.02280873669673324
cloudflare,0.3505154639175258,0.004836280711710968,0.48892478582837223,0.10796799026273553,0.4666202575704838,91.14117647058823,0.023288340018186773
nokia,0.511340206185567,0.021629273603101934,0.5702449247443849,0.12165583641208204,0.2653780854120413,182.4516129032258,0.02098082803364556
thoughtbot,0.24123711340206186,0.0011320616661219724,0.4464779394702821,0.08633208433110724,0.6507515473032714,41.51282051282051,0.026560121133662098
atlassian,0.5278350515463918,0.018874100349491774,0.57976884833093,0.12629388950228151,0.26488970588235294,188.453125,0.0205994173195357
aws,0.27010309278350514,0.001331912619829633,0.4575111669695477,0.09321201799656682,0.6055196711685261,52.2824427480916,0.02566816779132332
getlantern,0.21443298969072166,0.0009326960186623723,0.4359643302205894,0.08056912538995151,0.7199402539208365,29.84615384615384,0.0281434480986986
salesforce,0.012371134020618558,0.0,0.3712690887038977,0.007216725569523779,1.0,1.0,0.17286729638678433
npm,0.2288659793814433,0.0010011075458701692,0.44080837833415154,0.0776503527545654,0.6093366093366094,43.97297297297297,0.02787046985798147
plotly,0.16494845360824742,0.0005972259174610691,0.418867689819782,0.06770165365340246,0.8275316455696202,14.625,0.02930808606932068
futurice,0.07422680412371134,7.296723589915969e-06,0.39004112127881385,0.033282822471453866,0.953968253968254,2.6111111111111143,0.0435616683388441
hubspot,0.4,0.005244065025425551,0.5114351350838222,0.11528484972843889,0.39955130601997757,116.88659793814433,0.022358653113348614
kong,0.30721649484536084,0.003152894706199453,0.4714928325136086,0.10079175594776447,0.538091783058226,69.36241610738254,0.024490445311114904
rstudio,0.1463917525773196,9.887209690505513e-05,0.413257854688267,0.061536399537965,0.8567404426559356,11.028169014084504,0.030891717624250564
nvidia,0.19175257731958764,0.004214230551583636,0.4265887532265983,0.06821443729134902,0.6493688639551192,33.25806451612903,0.02830863196030196
hewlettpackard,0.2618556701030928,0.001397583469841937,0.4552611120500253,0.09036603578912927,0.6071741032370953,50.496062992125985,0.025668421708887924
formidablelabs,0.24329896907216494,0.001353012394100479,0.4464779394702821,0.07984244740537577,0.5751122700275243,50.71186440677967,0.027397848857904805
ionic-team,0.1463917525773196,0.00013906551173297363,0.413257854688267,0.06017006933583145,0.8414486921529175,12.098591549295776,0.03153544915737785
codrops,0.0,0.0,0.0,3.488482422777398e-24,0.0,,
netlify,0.16701030927835053,0.00025261867005893865,0.42077163386441735,0.06574669687463328,0.7953703703703704,17.370370370370374,0.03037603338953169
ethereum,0.061855670103092786,0.0002271984362547102,0.3873211692475808,0.02860203450623253,0.8298850574712644,5.933333333333334,0.048812506939502356
ecomfe,0.05567010309278351,0.0031238225354542114,0.38624378073785187,0.02446776438551158,0.8774928774928775,4.185185185185187,0.049425576041339
digitalocean,0.3463917525773196,0.003403564011834794,0.4880655155545087,0.10604386276843343,0.4632877102936983,90.63095238095238,0.02379494914863228
juniper,0.2309278350515464,0.0009105335217607604,0.4415091865667972,0.0827695968120196,0.6714929214929215,37.46428571428571,0.027880997365412427
square,0.15257731958762888,0.00022112331036603706,0.4151110289245373,0.06251925894431487,0.8430211032950758,12.45945945945946,0.031479156962864775
oracle,0.24948453608247423,0.0010763806465875693,0.4486418067051946,0.08740567792746194,0.6303030303030303,45.36363636363636,0.026417160453166624
spotify,0.20824742268041238,0.0005407109925219764,0.43459980962521977,0.07635928361691367,0.7017821782178217,30.821782178217816,0.028430174708231323
atom,0.24536082474226806,0.0009835545936274753,0.44791819088792817,0.0842624895905379,0.6144423871243413,46.49579831932773,0.02682795377556541
nccgroup,0.016494845360824743,0.0,0.3717661022095254,0.007775087980515904,1.0,1.0,0.13809698747406515
marmelab,0.07422680412371134,5.276527761821935e-06,0.38894856911836895,0.033033371111615535,0.9714285714285714,2.0,0.04426172431942789
symfony,0.061855670103092786,0.0003944382152228716,0.38786212060127856,0.024843119570546624,0.7655172413793103,7.800000000000001,0.05596431674078775
fossasia,0.024742268041237116,0.0031186845020022185,0.3768104183860454,0.011536686290982591,0.8181818181818182,3.0,0.09378083901247795
tc39,0.08247422680412371,2.1714993428458103e-05,0.39279954505023407,0.0327724120436794,0.9064102564102564,4.649999999999999,0.04446943419941238
sap,0.018556701030927835,6.682403727444798e-07,0.3712690887038977,0.008394938321668894,0.9444444444444444,1.4444444444444446,0.12795514492525945
yelp,0.288659793814433,0.0026941963858898715,0.4628487972508591,0.09597939261553019,0.5638232271325796,61.62857142857143,0.025544004517658418
rocketchat,0.27628865979381445,0.0012261134255664814,0.45978357342800574,0.09552719107922751,0.6064414768263944,53.343283582089555,0.025485570000885124
mirantis,0.1752577319587629,0.00019013339836368036,0.42269296552589875,0.07022759484131964,0.8355742296918768,14.811764705882354,0.03097956396450818
paypal,0.02268041237113402,1.5491026822712942e-07,0.3742712646233362,0.011410331431892674,0.9818181818181818,1.1818181818181817,0.1022229366666253
dotnet,0.12164948453608247,0.0002888995481865916,0.40423475742433107,0.047743797234184746,0.7726475745178258,14.186440677966104,0.03471610005391901
palantir,0.1731958762886598,0.0005147648109009294,0.4220505750007834,0.06352264349043825,0.6795754446356856,27.595238095238095,0.029439504913027624
dropbox,0.4041237113402062,0.006021452310625584,0.5142764413898434,0.1162017325428528,0.3990057561486133,118.1938775510204,0.021895222358568788
naver,0.07010309278350516,9.640671733214035e-05,0.38949407903298094,0.03054683420458959,0.8556149732620321,5.764705882352942,0.04535375491325991
