company,h-index,repo count,contributor count,location,top_language,,h-index,repo count,contributor count,,h-index diff,repo-count diff,contributor diff
wordpress,51,120,1215,,PHP,,97,120,9234,,-46,0,-8019
alteryx,14,119,1479,"Broomfield, CO",JavaScript,,6,119,881,,8,0,598
paytm,6,119,879,Noida,JavaScript,,14,118,1479,,-8,1,-600
vuejs,81,118,4929,All Over the World,JavaScript,,81,118,4914,,0,0,15
filamentgroup,56,118,417,"Boston, MA",JavaScript,,56,118,418,,0,0,-1
storybookjs,31,117,1331,,JavaScript,,31,117,1329,,0,0,2
mdn,50,116,2198,Worldwide,JavaScript,,50,116,2194,,0,0,4
rails,66,115,2074,,Ruby,,65,114,2067,,1,1,7
minio,41,113,2013,United States of America,Go,,40,113,2002,,1,0,11
ant-design,44,112,1996,"HangZhou, China",JavaScript,,68,112,1032,,-24,0,964
aspnet,68,112,1032,"Redmond, WA",C#,,44,111,1973,,24,1,-941
coinbase,47,110,653,,Ruby,,13,109,1858,,34,1,-1205
ericsson,14,109,1859,,Ruby,,46,108,648,,-32,1,1211
yandex,41,107,939,"Moscow, Russia",JavaScript,,87,107,3992,,-46,0,-3053
tensorflow,87,107,4006,,Python,,62,106,1309,,25,1,2697
baidu,62,106,1314,"Beijing, China",C++,,41,106,938,,21,0,376
commaai,25,106,4009,San Diego,Python,,25,106,4003,,0,0,6
huggingface,50,105,2657,NYC + Paris,Python,,13,104,582,,37,1,2075
mastercard,14,104,580,,Java,,12,104,3112,,2,0,-2532
seagate,12,104,3112,,C,,2,104,3397,,10,0,-285
ExpediaInc,2,104,3394,,Java,,49,104,2591,,-47,0,803
huawei,12,103,162,,Python,,12,103,162,,0,0,0
vimeo,38,102,2138,"New York, NY",Go,,38,102,2133,,0,0,5
koajs,55,102,720,,JavaScript,,55,102,720,,0,0,0
gatsbyjs,29,101,1231,,JavaScript,,29,101,1232,,0,0,-1
skillz,5,100,2422,"San Francisco, CA",Objective-C,,5,100,2423,,0,0,-1
signalapp,35,100,2227,Everywhere and nowhere,Java,,35,100,2215,,0,0,12
powershell,42,100,1029,Redmond,PowerShell,,42,100,1027,,0,0,2
twitter,69,98,1575,,Scala,,69,98,1570,,0,0,5
medium,22,98,4021,"San Francisco, CA",JavaScript,,22,97,4025,,0,1,-4
clojure,53,97,575,,Clojure,,11,95,2765,,42,2,-2190
procore,11,95,2765,,Ruby,,53,94,574,,-42,1,2191
home-assistant,37,95,2736,Your home,Python,,9,93,2985,,28,2,-249
nytimes,44,94,627,"New York, NY",Go,,39,93,1901,,5,1,-1274
genius,9,93,2982,,Ruby,,44,93,625,,-35,0,2357
electron,39,93,1899,"San Francisco, CA",JavaScript,,49,92,2859,,-10,1,-960
firebase,49,92,2870,"San Francisco, CA",JavaScript,,36,92,2712,,13,0,158
mercari,34,90,1337,,Go,,34,90,1332,,0,0,5
jupyter,37,90,1367,The Future,Python,,37,90,1364,,0,0,3
okta,34,89,1077,,JavaScript,,34,89,1073,,0,0,4
realm,34,89,1053,,Swift,,34,89,1049,,0,0,4
docker,56,88,2780,"San Francisco, CA",Go,,56,87,2769,,0,1,11
mandiant,54,87,721,,Python,,54,87,721,,0,0,0
mercadolibre,19,87,2567,,Java,,19,87,2563,,0,0,4
tauri-apps,29,87,1376,,Rust,,29,86,201,,0,1,1175
groupon,29,86,201,"Chicago, IL, USA",Java,,47,85,2082,,-18,1,-1881
smartrent,7,85,1722,,Elixir,,13,85,330,,-6,0,1392
reactjs,47,85,2083,Everywhere,JavaScript,,29,85,1125,,18,0,958
papers-we-love,13,85,331,"New York, NY",JavaScript,,36,84,1222,,-23,1,-891
youzan,36,84,1223,杭州,JavaScript,,28,84,1364,,8,0,-141
